"indice_ld", "indice_ob", "indice_fp", "indice_rh", "indice_ml","label2"
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,0.66667,1,rh2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,0.41667,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,0.66667,1,rh2
1,1,1,1,1,normal2
1,1,1,1,0.54167,mlc2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,0.5,inspecao2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
0,0,0,0,0,aciaria2
0.79167,0.79167,0.79167,0.79167,0.79167,aciaria2
1,1,0,1,0.5,fp2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,0.33333,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
1,1,1,1,1,normal2
