dia,corr_ac1,carga_ac1,corr_ac2,carga_ac2,corr_transf,producao_aco,saldo,psuc_ac1,psuc_ac2,psuc_tot,prod_af1,prod_af2,prod_af3,prod_af,restr_hic,restr_dr,restr_rh,restr_fp2,aco_rh_tot,aco_fp2_tot,restr_fp1,aco_fp1_tot
1, 0, 0.00000, 25, 164.24000, 0, 4106.00000, 1048.33635, 0.00000, 12.84000, 12.84000, 1800.00000, 1800.00000, 0.00000, 3600.00000, 0, 12, 12, 9, 3948.00000, 3462.00000, 0, 0.00000
2, 24, 76.00000, 36, 166.11111, 0, 7804.00000, 1757.71060, 17.00000, 16.72222, 16.78715, 1800.00000, 1800.00000, 4500.00000, 8100.00000, 0, 5, 8, 1, 2140.00000, 986.00000, 0, 0.00000
3, 38, 76.00000, 41, 165.97561, 0, 9693.00000, 1913.56846, 17.00000, 16.87805, 16.91438, 1800.00000, 1800.00000, 5700.00000, 9300.00000, 0, 2, 18, 0, 3298.00000, 328.00000, 0, 0.00000
4, 38, 76.00000, 53, 165.86792, 0, 11679.00000, 1299.98996, 17.00000, 16.71698, 16.78697, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 0, 29, 2, 4785.00000, 332.00000, 0, 0.00000
5, 38, 76.00000, 42, 166.16667, 0, 9867.00000, 2355.54058, 17.00000, 16.73810, 16.81475, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 5, 9, 2, 2305.00000, 1152.00000, 0, 0.00000
6, 38, 76.00000, 45, 164.77778, 0, 10303.00000, 1014.70173, 17.00000, 14.35556, 15.09681, 1650.00000, 300.00000, 6600.00000, 8550.00000, 0, 16, 22, 8, 6254.00000, 3952.00000, 0, 0.00000
7, 38, 76.00000, 42, 166.07143, 0, 9863.00000, 1104.60252, 17.00000, 16.78571, 16.84846, 1800.00000, 800.00000, 6800.00000, 9400.00000, 0, 4, 13, 1, 2801.00000, 822.00000, 0, 0.00000
8, 41, 76.00000, 43, 165.25581, 0, 10222.00000, 1540.11312, 17.00000, 15.46512, 15.93300, 1800.00000, 1600.00000, 6800.00000, 10200.00000, 0, 13, 17, 2, 4937.00000, 2464.00000, 0, 0.00000
9, 41, 76.00000, 39, 165.79487, 0, 9582.00000, 2800.75963, 17.00000, 15.92308, 16.27328, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 5, 13, 6, 2965.00000, 1816.00000, 0, 0.00000
10, 42, 76.00000, 48, 165.58333, 0, 11140.00000, 2636.43332, 17.00000, 16.16667, 16.40545, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 2, 29, 4, 5113.00000, 992.00000, 0, 0.00000
11, 42, 76.00000, 50, 164.76000, 0, 11430.00000, 2049.93656, 17.00000, 14.48000, 15.18375, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 16, 28, 8, 7244.00000, 3952.00000, 0, 0.00000
12, 41, 76.00000, 46, 165.54348, 0, 10731.00000, 2229.48258, 17.00000, 15.76087, 16.12068, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 4, 24, 7, 4616.00000, 1818.00000, 0, 0.00000
13, 34, 75.58824, 14, 164.64286, 0, 4875.00000, 2095.70368, 15.97059, 12.50000, 14.32962, 1800.00000, 1800.00000, 1000.00000, 4600.00000, 0, 8, 1, 7, 1477.00000, 2474.00000, 7, 518.00000
14, 44, 75.68182, 31, 164.51613, 0, 8430.00000, 1065.59498, 16.20455, 15.45161, 15.74903, 1800.00000, 1800.00000, 3400.00000, 7000.00000, 4, 1, 29, 0, 4949.00000, 164.00000, 7, 518.00000
15, 45, 75.68889, 36, 165.80556, 0, 9375.00000, 2017.44986, 16.22222, 16.08333, 16.13379, 1800.00000, 1800.00000, 6300.00000, 9900.00000, 0, 9, 7, 2, 2631.00000, 1808.00000, 7, 518.00000
16, 45, 75.68889, 43, 165.46512, 0, 10521.00000, 2386.61781, 16.22222, 16.00000, 16.07194, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 10, 18, 0, 4610.00000, 1640.00000, 7, 518.00000
17, 45, 75.68889, 44, 165.02273, 0, 10667.00000, 2527.27572, 16.22222, 14.84091, 15.28197, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 16, 17, 5, 5429.00000, 3454.00000, 7, 518.00000
18, 45, 75.68889, 47, 165.00000, 0, 11161.00000, 1764.86080, 16.22222, 15.40426, 15.65387, 1650.00000, 1650.00000, 6600.00000, 9900.00000, 0, 14, 26, 0, 6586.00000, 2296.00000, 7, 518.00000
19, 45, 75.68889, 44, 165.59091, 0, 10692.00000, 1499.78892, 16.22222, 16.13636, 16.16371, 1650.00000, 1650.00000, 6600.00000, 9900.00000, 0, 6, 21, 2, 4449.00000, 1316.00000, 7, 518.00000
20, 45, 75.68889, 37, 166.02703, 0, 9549.00000, 1340.99756, 16.22222, 16.43243, 16.35745, 300.00000, 1800.00000, 6800.00000, 8900.00000, 0, 5, 9, 3, 2305.00000, 1318.00000, 7, 518.00000
21, 45, 75.68889, 35, 166.02857, 0, 9217.00000, 1172.77720, 16.22222, 16.05714, 16.11815, 0.00000, 1800.00000, 6800.00000, 8600.00000, 0, 7, 4, 5, 1808.00000, 1978.00000, 7, 518.00000
22, 45, 75.68889, 41, 164.73171, 0, 10160.00000, 1009.42522, 16.22222, 14.80488, 15.28002, 1000.00000, 1800.00000, 6800.00000, 9600.00000, 4, 15, 15, 2, 4935.00000, 2792.00000, 7, 518.00000
23, 45, 75.68889, 43, 165.72093, 0, 10532.00000, 1100.28844, 16.22222, 16.30233, 16.27642, 1500.00000, 1800.00000, 6800.00000, 10100.00000, 0, 5, 19, 2, 3955.00000, 1152.00000, 7, 518.00000
24, 45, 75.68889, 34, 166.55882, 0, 9069.00000, 2911.03098, 16.22222, 17.50000, 17.02011, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 1, 6, 0, 1154.00000, 164.00000, 7, 518.00000
25, 45, 75.68889, 45, 165.06667, 0, 10834.00000, 2929.48954, 16.22222, 15.26667, 15.56707, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 4, 8, 21, 5, 4777.00000, 2142.00000, 7, 518.00000
26, 45, 75.68889, 52, 165.23077, 0, 11998.00000, 1898.52830, 16.22222, 15.69231, 15.84274, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 14, 25, 0, 6421.00000, 2296.00000, 7, 518.00000
27, 35, 75.60000, 18, 161.88889, 0, 5560.00000, 1072.39702, 16.00000, 11.44444, 13.61243, 1800.00000, 1800.00000, 1000.00000, 4600.00000, 4, 11, 21, 1, 5269.00000, 1970.00000, 7, 518.00000
28, 35, 75.60000, 7, 160.71429, 0, 3771.00000, 1020.07903, 16.00000, 11.14286, 14.55097, 1800.00000, 1800.00000, 0.00000, 3600.00000, 0, 2, 19, 0, 3463.00000, 328.00000, 7, 518.00000
29, 40, 75.65000, 33, 166.42424, 0, 8518.00000, 1069.89570, 16.12500, 17.06061, 16.72823, 1800.00000, 1800.00000, 4500.00000, 8100.00000, 0, 4, 3, 1, 1151.00000, 822.00000, 7, 518.00000
30, 42, 75.66667, 39, 164.61538, 0, 9598.00000, 1133.37021, 16.16667, 14.74359, 15.21479, 1800.00000, 1800.00000, 5700.00000, 9300.00000, 0, 13, 26, 2, 6422.00000, 2464.00000, 7, 518.00000
31, 45, 75.68889, 45, 165.15556, 0, 10838.00000, 1144.43381, 16.22222, 15.22222, 15.53649, 1800.00000, 1800.00000, 6800.00000, 10400.00000, 0, 13, 20, 4, 5432.00000, 2796.00000, 7, 518.00000
